Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
LP6007600_vs_LP6007599__pv	0	1827	1771	263	1556	550
LP6007602_vs_LP6007601__pv	21054	0	0	43909	0	0
LP6008017-DNA_A01_vs_LP6008018-DNA_B01__pv	24000	1858	216	11760	4311	0
LP6008017-DNA_A02_vs_LP6008018-DNA_B01__pv	47148	0	350	7388	5232	0
LP6008017-DNA_A03_vs_LP6008018-DNA_C01__pv	27594	1944	335	12381	7296	730
LP6008017-DNA_A04_vs_LP6008018-DNA_A01__pv	9802	519	3916	1892	5067	8546
LP6008017-DNA_B01_vs_LP6008018-DNA_B01__pv	34268	420	0	13662	4141	0
LP6008017-DNA_B02_vs_LP6008018-DNA_B01__pv	24041	1476	0	11006	3957	0
LP6008017-DNA_B03_vs_LP6008018-DNA_C01__pv	27860	2190	546	12648	7581	757
LP6008017-DNA_B04_vs_LP6008018-DNA_A01__pv	4655	943	1378	1118	2614	1519
LP6008017-DNA_C01_vs_LP6008018-DNA_B01__pv	43512	0	0	18991	3778	0
LP6008017-DNA_C02_vs_LP6008018-DNA_C01__pv	26978	2103	34	12087	7202	577
LP6008017-DNA_C03_vs_LP6008018-DNA_C01__pv	27592	2047	277	12651	7235	675
LP6008017-DNA_C04_vs_LP6008018-DNA_C01__pv	0	40	51	9	11	24
LP6008017-DNA_D01_vs_LP6008018-DNA_B01__pv	34792	423	0	15913	4172	0
LP6008017-DNA_D02_vs_LP6008018-DNA_C01__pv	28077	3151	143	12176	7838	739
LP6008017-DNA_D03_vs_LP6008018-DNA_A01__pv	8452	1675	3712	2758	5161	4506
LP6008017-DNA_E01_vs_LP6008018-DNA_B01__pv	42182	0	0	17470	4207	0
LP6008017-DNA_E02_vs_LP6008018-DNA_C01__pv	28491	3815	0	11867	8400	862
LP6008017-DNA_E03_vs_LP6008018-DNA_A01__pv	8443	1606	3039	2433	4985	3432
LP6008017-DNA_F01_vs_LP6008018-DNA_B01__pv	26140	1824	0	13314	4892	0
LP6008017-DNA_F02_vs_LP6008018-DNA_C01__pv	29012	2861	80	12932	7745	727
LP6008017-DNA_F03_vs_LP6008018-DNA_A01__pv	6422	889	1581	1577	3088	3424
LP6008017-DNA_G01_vs_LP6008018-DNA_B01__pv	28485	1558	116	12221	4492	0
LP6008017-DNA_G02_vs_LP6008018-DNA_C01__pv	31138	3773	0	13850	8399	1023
LP6008017-DNA_G03_vs_LP6008018-DNA_A01__pv	8845	1777	3004	2209	5687	5139
LP6008017-DNA_H01_vs_LP6008018-DNA_B01__pv	34606	561	0	17609	4015	0
LP6008017-DNA_H02_vs_LP6008018-DNA_C01__pv	27677	3165	0	12248	8057	758
LP6008017-DNA_H03_vs_LP6008018-DNA_A01__pv	12146	212	4130	1241	5068	8542
LP6008031-DNA_A01_vs_LP6008032-DNA_A01__pv	4523	8370	407	1385	5012	6027
LP6008031-DNA_A02_vs_LP6008032-DNA_C02__pv	4161	4268	3040	2406	11376	6175
LP6008031-DNA_A03_vs_LP6008032-DNA_E03__pv	1341	854	2319	692	4937	1826
