NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
270	1493.237	8.665	226.783	7.457	0.015	0.99	60000.0
271	1495.64	8.632	227.595	7.45	0.015	0.99	80000.0
272	1497.372	8.7	228.459	7.475	0.015	0.99	70000.0
273	1498.574	8.774	228.874	7.576	0.015	0.989	160000.0
274	1503.224	8.705	229.043	7.484	0.015	0.99	80000.0
275	1510.908	8.702	231.762	7.515	0.015	0.99	80000.0
276	1497.114	8.71	227.818	7.486	0.015	0.99	80000.0
277	1497.868	8.695	228.934	7.501	0.015	0.99	100000.0
278	1504.733	8.7	229.441	7.531	0.014	0.99	70000.0
279	1496.659	8.648	228.357	7.483	0.015	0.99	80000.0
280	1498.976	8.73	228.793	7.496	0.015	0.99	110000.0
281	1493.624	8.685	226.699	7.467	0.015	0.99	70000.0
282	1494.019	8.728	226.863	7.523	0.015	0.989	60000.0
283	1498.883	8.685	228.682	7.472	0.015	0.99	80000.0
284	1497.157	8.689	228.261	7.48	0.015	0.99	140000.0
